"","family","genus","species","taxonomic.rank","taxon","LME","FAO","habitat","reference.habitat","feeding.mode","reference.feeding.mode","tl","level.tl","reference.tl","body.shape","fin.shape","AR","level.AR","reference.AR","offspring.size","level.offspring.size","reference.offspring.size","spawning.type","reference.spawning.type","age.maturity","level.age.maturity","reference.age.maturity","fecundity","level.fecundity","reference.fecundity","length.infinity","growth.coefficient","level.growth","reference.growth","length.max","level.length.max","reference.length.max","age.max","level.age.max","reference.age.max"
"39","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"40","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"41","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"42","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-LME","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"43","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"44","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"45","Agonidae","Agonus","cataphractus","S","Agonus cataphractus",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.43,"spe","FroesePauly2018","elongated","rounded",0.83,"spe","FroesePauly2018",2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe","Heessen2016",2550,"spe-ocean","FroesePauly2018",15,0.47,"spe-FAO","FroesePauly2018",21,"spe","FroesePauly2018",1,"spe","Heessen2015"
"243","Ammodytidae","Ammodytes","","G","Ammodytes",7,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",2.3,"gen-ocean","FroesePauly2019",10630,"gen-ocean","FroesePauly2018",26,0.34,"gen-FAO","FroesePauly2018",33,"gen-FAO","FroesePauly2018",10.5,"gen-FAO","FroesePauly2018"
"244","Ammodytidae","Ammodytes","","G","Ammodytes",20,27,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",3.2,"gen-FAO","FroesePauly2019",12450,"gen-FAO","FroesePauly2018",19,0.55,"gen-FAO","FroesePauly2018",23,"gen-LME","FroesePauly2018",7.7,"gen-FAO","FroesePauly2018"
"245","Ammodytidae","Ammodytes","","G","Ammodytes",22,27,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",3.2,"gen-FAO","FroesePauly2019",12450,"gen-FAO","FroesePauly2018",19,0.55,"gen-FAO","FroesePauly2018",18,"gen-LME","FroesePauly2018",7.7,"gen-FAO","FroesePauly2018"
"246","Ammodytidae","Ammodytes","","G","Ammodytes",24,27,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.15,"genus","FroesePauly2018","elongated","forked",1.45,"gen","FroesePauly2018",0.94,"gen","FroesePauly2018","non-guarder","inferred from genus",3.2,"gen-FAO","FroesePauly2019",12450,"gen-FAO","FroesePauly2018",19,0.55,"gen-FAO","FroesePauly2018",19,"gen-LME","FroesePauly2018",7.7,"gen-FAO","FroesePauly2018"
"254","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",20,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"255","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"256","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"257","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-LME","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"258","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"259","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"260","Ammodytidae","Hyperoplus","lanceolatus","S","Hyperoplus lanceolatus",59,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.98,"spe","FroesePauly2018","elongated","forked",1.68,"fam","FroesePauly2018",0.94,"fam","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",13133,"fam-LME","FroesePauly2018",30,0.4,"spe-FAO","FroesePauly2018",40,"spe","FroesePauly2018",9.5,"fam","FroesePauly2018"
"310","Anguillidae","Anguilla","anguilla","S","Anguilla anguilla",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.55,"spe","FroesePauly2018","eel-like","pointed",NA,"","",1.14,"spe","FroesePauly2018","non-guarder","FroesePauly2018",11,"spe-ocean","FroesePauly2019",2500000,"spe-ocean","FroesePauly2018",93,0.1,"spe-FAO","FroesePauly2018",145,"spe-FAO","FroesePauly2018",23,"spe","FroesePauly2018"
"311","Anguillidae","Anguilla","anguilla","S","Anguilla anguilla",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.55,"spe","FroesePauly2018","eel-like","pointed",NA,"","",1.14,"spe","FroesePauly2018","non-guarder","FroesePauly2018",11,"spe-ocean","FroesePauly2019",2500000,"spe-ocean","FroesePauly2018",83,0.08,"spe-LME","FroesePauly2018",66,"spe-LME","FroesePauly2018",23,"spe","FroesePauly2018"
"312","Anguillidae","Anguilla","anguilla","S","Anguilla anguilla",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.55,"spe","FroesePauly2018","eel-like","pointed",NA,"","",1.14,"spe","FroesePauly2018","non-guarder","FroesePauly2018",11,"spe-ocean","FroesePauly2019",2500000,"spe-ocean","FroesePauly2018",83,0.14,"spe-LME","FroesePauly2018",145,"spe-LME","FroesePauly2018",23,"spe","FroesePauly2018"
"313","Anguillidae","Anguilla","anguilla","S","Anguilla anguilla",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.55,"spe","FroesePauly2018","eel-like","pointed",NA,"","",1.14,"spe","FroesePauly2018","non-guarder","FroesePauly2018",11,"spe-ocean","FroesePauly2019",2500000,"spe-ocean","FroesePauly2018",112,0.11,"spe-LME","FroesePauly2018",145,"spe-FAO","FroesePauly2018",23,"spe","FroesePauly2018"
"518","Atherinidae","Atherina","presbyter","S","Atherina presbyter",22,27,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.67,"spe","FroesePauly2018","elongated","forked",1.49,"spe","FroesePauly2018",1.87,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"gen-ocean","FroesePauly2019",1500,"spe-LME","Moreno2005",15,0.7,"spe-FAO","FroesePauly2018",14,"spe-FAO","FroesePauly2018",4,"spe","FroesePauly2018"
"519","Atherinidae","Atherina","presbyter","S","Atherina presbyter",24,27,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.67,"spe","FroesePauly2018","elongated","forked",1.49,"spe","FroesePauly2018",1.87,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"gen-ocean","FroesePauly2019",1500,"spe-LME","Moreno2005",15,0.7,"spe-LME","FroesePauly2018",14,"spe-LME","FroesePauly2018",4,"spe","FroesePauly2018"
"520","Atherinidae","Atherina","presbyter","S","Atherina presbyter",25,27,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.67,"spe","FroesePauly2018","elongated","forked",1.49,"spe","FroesePauly2018",1.87,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"gen-ocean","FroesePauly2019",1500,"spe-LME","Moreno2005",15,0.7,"spe-FAO","FroesePauly2018",14,"spe-FAO","FroesePauly2018",4,"spe","FroesePauly2018"
"642","Belonidae","Belone","belone","S","Belone belone",20,27,"pelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16,"spe","FroesePauly2018","elongated","forked",1.52,"spe","FroesePauly2018",3.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",18000,"spe-ocean","FroesePauly2018",58,0.23,"spe-ocean","FroesePauly2018",93,"spe","FroesePauly2018",11,"spe","Heessen2015"
"643","Belonidae","Belone","belone","S","Belone belone",21,27,"pelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16,"spe","FroesePauly2018","elongated","forked",1.52,"spe","FroesePauly2018",3.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",18000,"spe-ocean","FroesePauly2018",58,0.23,"spe-ocean","FroesePauly2018",93,"spe","FroesePauly2018",11,"spe","Heessen2015"
"644","Belonidae","Belone","belone","S","Belone belone",22,27,"pelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16,"spe","FroesePauly2018","elongated","forked",1.52,"spe","FroesePauly2018",3.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",18000,"spe-ocean","FroesePauly2018",58,0.23,"spe-ocean","FroesePauly2018",93,"spe","FroesePauly2018",11,"spe","Heessen2015"
"645","Belonidae","Belone","belone","S","Belone belone",24,27,"pelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16,"spe","FroesePauly2018","elongated","forked",1.52,"spe","FroesePauly2018",3.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",18000,"spe-ocean","FroesePauly2018",58,0.23,"spe-ocean","FroesePauly2018",93,"spe","FroesePauly2018",11,"spe","Heessen2015"
"646","Belonidae","Belone","belone","S","Belone belone",25,27,"pelagic","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16,"spe","FroesePauly2018","elongated","forked",1.52,"spe","FroesePauly2018",3.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe","FroesePauly2019",18000,"spe-ocean","FroesePauly2018",58,0.23,"spe-ocean","FroesePauly2018",93,"spe","FroesePauly2018",11,"spe","Heessen2015"
"668","Blenniidae","","","F","Blenniidae",5,31,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","inferred from family",2.85,"family","FroesePauly2018","fusiform","rounded",1.09,"fam","FroesePauly2018",1.24,"fam","FroesePauly2018","guarder","inferred from family",1.8,"fam","Inferred from family",500,"fam-ocean","FroesePauly2018",15,0.45,"fam-ocean","FroesePauly2018",10,"fam-LME","FroesePauly2018",7,"fam-FAO","FroesePauly2018"
"669","Blenniidae","","","F","Blenniidae",22,27,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","inferred from family",2.85,"family","FroesePauly2018","fusiform","rounded",1.09,"fam","FroesePauly2018",1.24,"fam","FroesePauly2018","guarder","inferred from family",1.8,"fam","Inferred from family",500,"fam-ocean","FroesePauly2018",15,0.42,"fam-FAO","FroesePauly2018",16,"fam-FAO","FroesePauly2018",6,"fam-FAO","FroesePauly2018"
"682","Bothidae","Arnoglossus","","G","Arnoglossus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from genus",3.44,"genus","FroesePauly2018","flat","rounded",0.94,"gen","FroesePauly2018",0.7,"gen","FroesePauly2018","non-guarder","inferred from genus",1.5,"gen","Gibson1981",50000,"gen","Inferred from genus",18,0.51,"gen-FAO","FroesePauly2018",19,"gen-LME","FroesePauly2018",8.8,"gen-FAO","FroesePauly2018"
"727","Callionymidae","Callionymus","lyra","S","Callionymus lyra",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"728","Callionymidae","Callionymus","lyra","S","Callionymus lyra",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"729","Callionymidae","Callionymus","lyra","S","Callionymus lyra",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"730","Callionymidae","Callionymus","lyra","S","Callionymus lyra",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"731","Callionymidae","Callionymus","lyra","S","Callionymus lyra",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-LME","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"732","Callionymidae","Callionymus","lyra","S","Callionymus lyra",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-LME","FroesePauly2018",7,"spe","FroesePauly2018"
"733","Callionymidae","Callionymus","lyra","S","Callionymus lyra",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.27,"spe","FroesePauly2018","elongated","rounded",0.55,"spe","FroesePauly2018",0.9,"spe","ICES2009","non-guarder","FroesePauly2018",2.5,"spe","VanDerVeer1991",5000,"spe-ocean","VanDerVeer1990",21,0.47,"spe-FAO","FroesePauly2018",30,"spe-FAO","FroesePauly2018",7,"spe","FroesePauly2018"
"871","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",20,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",263139,"spe-ocean","FroesePauly2018",44,0.18,"spe-FAO","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"872","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",21,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",263139,"spe-ocean","FroesePauly2018",44,0.18,"spe-FAO","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"873","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",22,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",276449,"spe-LME","FroesePauly2018",41,0.18,"spe-LME","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"874","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",23,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",263139,"spe-ocean","FroesePauly2018",44,0.18,"spe-FAO","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"875","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",24,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",276449,"spe-LME","FroesePauly2018",47,0.17,"spe-LME","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"876","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",25,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",276449,"spe-LME","FroesePauly2018",45,0.2,"spe-LME","FroesePauly2018",41,"spe-LME","FroesePauly2018",40,"spe","Heessen2015"
"877","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",26,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",263139,"spe-ocean","FroesePauly2018",44,0.18,"spe-FAO","FroesePauly2018",41,"spe-LME","FroesePauly2018",40,"spe","Heessen2015"
"878","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",26,37,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",263139,"spe-ocean","FroesePauly2018",34,0.28,"spe-FAO","FroesePauly2018",41,"spe-LME","FroesePauly2018",40,"spe","Heessen2015"
"879","Carangidae","Trachurus","trachurus","S","Trachurus trachurus",59,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.71,"spe","FroesePauly2018","fusiform","forked",2.9,"spe","FroesePauly2018",0.9,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",276449,"spe-LME","FroesePauly2018",44,0.18,"spe-FAO","FroesePauly2018",41,"spe-FAO","FroesePauly2018",40,"spe","Heessen2015"
"1095","Clupeidae","Clupea","harengus","S","Clupea harengus",5,31,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",37783,"spe-LME","FroesePauly2018",31,0.32,"spe-ocean","FroesePauly2018",51,"spe-ocean","FroesePauly2018",25,"spe","FroesePauly2018"
"1096","Clupeidae","Clupea","harengus","S","Clupea harengus",6,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",141075,"spe-LME","FroesePauly2018",34,0.32,"spe-FAO","FroesePauly2018",34,"spe-FAO","FroesePauly2018",18.9,"spe-FAO","FroesePauly2018"
"1097","Clupeidae","Clupea","harengus","S","Clupea harengus",6,31,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",141075,"spe-LME","FroesePauly2018",31,0.32,"spe-ocean","FroesePauly2018",51,"spe-ocean","FroesePauly2018",25,"spe","FroesePauly2018"
"1098","Clupeidae","Clupea","harengus","S","Clupea harengus",7,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",37783,"spe-LME","FroesePauly2018",34,0.32,"spe-FAO","FroesePauly2018",34,"spe-FAO","FroesePauly2018",19.1,"spe-LME","FroesePauly2018"
"1099","Clupeidae","Clupea","harengus","S","Clupea harengus",8,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",141075,"spe-LME","FroesePauly2018",34,0.32,"spe-LME","FroesePauly2018",34,"spe-LME","FroesePauly2018",18.9,"spe-FAO","FroesePauly2018"
"1100","Clupeidae","Clupea","harengus","S","Clupea harengus",9,21,"benthopelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.38,"spe","FroesePauly2018","fusiform","forked",2.13,"spe","FroesePauly2018",1.2,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.2,"spe-ocean","FroesePauly2019",141075,"spe-LME","FroesePauly2018",34,0.32,"spe-FAO","FroesePauly2018",34,"spe-LME","FroesePauly2018",19.1,"spe-LME","FroesePauly2018"
